bash-3.2$ sudo python socket-mon.py
"pid","laddr","raddr","status"
"98924","10.255.209.38@56469","54.221.62.191@443","CLOSE_WAIT"
"98924","10.255.209.38@56456","216.58.194.174@443","ESTABLISHED"
"98924","10.255.209.38@55933","173.194.202.188@5228","ESTABLISHED"
"98924","10.255.209.38@56410","199.16.156.241@443","ESTABLISHED"
"98924","10.255.209.38@56318","216.58.194.163@80","CLOSE"
"98924","10.255.209.38@56450","151.101.40.133@443","ESTABLISHED"
"98924","10.255.209.38@56451","151.101.40.133@443","ESTABLISHED"
"98924","10.255.209.38@56447","151.101.40.133@443","ESTABLISHED"
"98924","10.255.209.38@56452","151.101.40.133@443","ESTABLISHED"
"98924","10.255.209.38@56319","172.217.6.80@80","CLOSE"
"98924","10.255.209.38@56453","151.101.40.133@443","ESTABLISHED"
"98924","10.255.209.38@56436","151.101.40.133@443","ESTABLISHED"
"98924","10.255.209.38@56439","151.101.40.133@443","ESTABLISHED"
"98924","10.255.209.38@55960","52.88.152.220@443","ESTABLISHED"
"98924","10.255.209.38@56437","151.101.40.133@443","ESTABLISHED"
"98924","10.255.209.38@56438","151.101.40.133@443","ESTABLISHED"
"98924","10.255.209.38@56440","151.101.40.133@443","ESTABLISHED"
"98924","10.255.209.38@56441","151.101.40.133@443","ESTABLISHED"
"98924","10.255.209.38@56443","151.101.40.133@443","ESTABLISHED"
"98924","10.255.209.38@56442","151.101.40.133@443","ESTABLISHED"
"96087","10.255.209.38@55316","74.125.28.108@993","ESTABLISHED"
"96087","10.255.209.38@56031","67.195.125.202@993","ESTABLISHED"
"96087","10.255.209.38@55316","74.125.28.108@993","ESTABLISHED"
"96087","10.255.209.38@56388","67.195.125.4@993","ESTABLISHED"
"96087","10.255.209.38@55362","74.125.28.108@993","ESTABLISHED"
"96087","10.255.209.38@55362","74.125.28.108@993","ESTABLISHED"
"96087","10.255.209.38@56388","67.195.125.4@993","ESTABLISHED"
"96087","10.255.209.38@56031","67.195.125.202@993","ESTABLISHED"
"1033","fe80:b::117d:fe8d:8d12:f3ca@1024","fe80:b::5c96:2452:bceb:6ba8@1024","ESTABLISHED"
"1033","fe80:b::117d:fe8d:8d12:f3ca@1024","fe80:b::5c96:2452:bceb:6ba8@1024","ESTABLISHED"
"1033","fe80:b::117d:fe8d:8d12:f3ca@62891","fe80:b::5c96:2452:bceb:6ba8@1025","ESTABLISHED"
"1033","fe80:b::117d:fe8d:8d12:f3ca@62891","fe80:b::5c96:2452:bceb:6ba8@1025","ESTABLISHED"
"92","10.255.209.38@55319","17.249.28.31@5223","ESTABLISHED"
"92","10.255.209.38@55319","17.249.28.31@5223","ESTABLISHED"
"92","10.255.209.38@55753","17.188.134.202@5223","ESTABLISHED"
"92","10.255.209.38@55753","17.188.134.202@5223","ESTABLISHED"
"63307","10.255.209.38@60831","161.69.12.13@443","CLOSE"
"100","10.255.209.38@60831","161.69.12.13@443","CLOSE"
